batter_position,start_state,end_state,count
1,13,16,6
8,21,25,16
10,5,4,11
2,1,8,1976
8,4,8,6
6,20,20,16169
7,10,12,1509
10,11,12,11
1,4,0,27
7,21,17,23
5,6,2,2
9,15,12,5
4,17,24,3440
1,13,10,91
4,22,16,5
1,14,18,50
6,13,9,9
8,10,12,1488
4,9,16,3049
2,17,18,6351
7,5,2,111
6,20,24,51
8,1,1,66008
3,17,16,18
9,13,18,27
10,20,20,7050
7,2,2,18480
10,14,8,5
8,7,5,3
1,6,4,18
3,23,19,9
9,22,16,7
2,22,24,26
10,11,11,10416
4,11,12,13
11,14,18,6
6,11,18,117
9,19,18,9
2,2,4,528
2,6,12,2
3,16,16,158784
1,15,13,1
11,19,21,68
6,14,8,1
2,1,2,3927
9,9,9,80069
11,2,0,1
6,6,12,3
3,17,24,3082
10,13,17,7
4,14,14,9141
6,6,0,1
3,13,17,20
10,1,1,21229
5,3,3,15359
7,3,12,10
6,13,8,2
6,15,21,7
6,2,0,16
5,1,4,391
8,19,22,788
2,15,22,12
3,10,16,355
10,19,16,1
4,19,24,144
11,3,9,27
7,12,12,13060
5,2,0,18
9,13,20,106
2,13,10,223
2,9,16,2808
10,17,16,6
6,15,9,1
3,18,20,1483
2,13,17,36
3,13,12,40
9,5,5,6791
6,10,16,303
5,22,24,21
10,2,0,2
3,3,6,587
11,20,20,4933
7,3,5,97
11,8,8,45919
7,11,11,27282
11,4,8,2
0,14,12,1
6,7,14,2
2,14,12,151
8,3,10,64
9,3,3,16478
10,3,3,5647
2,7,14,3
9,19,22,952
8,4,4,3686
8,23,24,27
11,5,4,3
9,21,18,346
11,19,16,2
7,5,6,316
10,22,20,53
9,23,21,1
5,2,8,119
3,1,1,63362
7,11,13,195
3,15,15,9083
8,6,4,59
8,9,9,75008
3,22,16,6
9,13,24,3
6,5,1,1
8,2,4,621
5,19,20,21
9,15,13,1
10,7,7,1368
10,2,8,32
10,13,16,5
8,18,20,1283
8,19,17,2
3,15,13,3
7,6,12,2
11,14,20,6
11,6,6,1344
1,10,8,14
11,15,19,7
7,22,20,154
4,5,16,2
4,20,24,57
