batter_position,start_state,end_state,count
11,15,21,579
4,21,26,9
10,11,16,9
10,0,1,22927
1,23,23,679
8,20,18,733
1,6,10,63
10,13,18,326
11,15,15,1149
7,23,25,56
3,22,16,214
5,13,20,59
10,9,24,3701
6,7,0,62
7,17,22,1702
2,22,25,54
8,7,6,154
8,2,2,822
3,12,24,141
5,15,13,335
7,14,10,436
2,3,17,177
6,23,26,98
1,1,6,148
10,23,21,239
6,5,2,57
5,6,8,28
5,14,17,62
9,7,12,15
8,6,14,1277
8,5,17,28
0,16,24,35
8,7,13,370
2,7,22,120
10,9,9,8
6,1,9,26391
2,17,25,74
7,22,22,7
3,17,16,2933
2,23,22,311
3,12,9,2476
2,12,10,521
7,4,9,28
11,8,10,1631
2,4,4,23
8,10,8,762
2,20,24,10575
3,18,22,18
4,11,12,255
11,20,20,27
4,2,9,368
4,13,11,1713
5,1,2,883
0,22,23,13
8,11,15,3879
1,1,16,1829
8,11,21,2987
1,6,11,5
8,14,9,557
11,9,17,11204
9,22,16,222
8,7,16,1
5,6,1,234
2,11,8,678
7,14,11,64
11,22,26,18
9,12,24,158
1,3,3,103
8,23,16,266
5,5,24,2
2,14,18,854
10,4,5,137
10,3,20,602
5,3,18,207
8,18,25,226
6,3,5,312
10,0,8,62529
4,22,21,406
6,0,2,12693
8,21,18,250
6,11,11,1586
8,15,18,47
